"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2005"	"2005"	79	3804375	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2006"	"2006"	90	3850004	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2007"	"2007"	82	3880433	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2008"	"2008"	94	3904471	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2009"	"2009"	84	3923106	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2010"	"2010"	89	3926437	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2011"	"2011"	55	3911652	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2012"	"2012"	80	3906199	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2013"	"2013"	85	3873196	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2014"	"2014"	85	3858041	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2015"	"2015"	75	3822993	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2016"	"2016"	86	3788807	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	70	3746170	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	72	3658077	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	68	3600276	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2020 "	"2020"	82	3548569	2.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"			1722	82636373	2.1
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"					2603	162550967	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"1999"	"1999"	55	3825868	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2000"	"2000"	46	3752937	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2001"	"2001"	57	3666927	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2002"	"2002"	59	3618978	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2003"	"2003"	51	3579653	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2004"	"2004"	52	3535454	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2005"	"2005"	58	3481943	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2006"	"2006"	49	3443015	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2007"	"2007"	55	3437663	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2008"	"2008"	58	3472949	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2009"	"2009"	60	3514160	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2010"	"2010"	39	3542636	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2011"	"2011"	52	3601821	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2012"	"2012"	52	3654985	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2013"	"2013"	43	3706938	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2014"	"2014"	57	3754674	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2015"	"2015"	65	3787526	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2016"	"2016"	68	3800746	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	67	3843275	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	82	3821266	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	74	3820958	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"2020 "	"2020"	70	3807804	1.8
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"			1269	80472176	1.6
